SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82737","Pathways Academy","","All Buildings","82","Wayne","PSA District","Middle_High School","City: Large","155","28","127","0","0","153","1","0","1","0","0","0","0","0","0","0","0","0","6","5","58","28","37","21","155","14","<10"
"19 - 20 School Year","82","Wayne RESA","82765","Pembroke Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Not Specified","280","149","131","0","0","260","5","0","1","14","0","71","69","30","33","30","25","22","0","0","0","0","0","0","258","15","<10"
"19 - 20 School Year","82","Wayne RESA","82904","Plymouth Educational Center Charter School","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","493","259","234","0","0","493","0","0","0","0","0","38","59","69","46","63","51","57","67","43","0","0","0","0","436","42","<10"
"19 - 20 School Year","82","Wayne RESA","82743","Plymouth Scholars Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","774","401","373","3","379","83","17","2","256","34","0","112","88","91","90","90","90","76","64","73","0","0","0","0","115","66","123"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","17363","8925","8438","49","2423","1670","798","23","11636","764","0","1173","1135","1099","1201","1144","1266","1230","1376","1338","1531","1635","1529","1555","3313","1730","1123"
"19 - 20 School Year","82","Wayne RESA","82718","Quest Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","771","376","395","2","11","311","103","0","265","79","0","99","87","85","85","86","87","86","75","81","0","0","0","0","617","89","44"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2313","1301","1012","10","8","1497","117","0","510","171","0","135","133","133","152","131","171","155","189","190","312","162","206","226","1817","619","46"
"19 - 20 School Year","82","Wayne RESA","82727","Regent Park Scholars Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","734","352","382","0","0","709","14","0","3","8","0","102","102","88","78","80","87","83","62","52","0","0","0","0","721","72","<10"
"19 - 20 School Year","82","Wayne RESA","82759","Regents Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2422","1227","1195","2","2","1977","172","1","121","147","0","145","129","126","123","170","150","182","169","169","342","282","260","175","1989","319","106"
