SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","08899","Dodson Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","530","263","267","2","81","49","18","1","359","20","0","74","91","93","84","101","87","0","0","0","0","0","0","0","64","54","72"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","03079","East Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","751","419","332","0","240","58","31","1","386","35","0","0","0","0","0","0","0","227","271","253","0","0","0","0","121","35","25"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","06675","Eriksson Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","496","253","243","3","79","74","36","1","273","30","0","81","78","100","80","65","92","0","0","0","0","0","0","0","201","61","101"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","01207","Farrand Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","438","226","212","0","15","8","17","0","384","14","0","94","81","76","67","48","72","0","0","0","0","0","0","0","95","49","28"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","06676","Field Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","509","258","251","1","62","128","27","1","260","30","0","88","94","86","81","75","85","0","0","0","0","0","0","0","193","52","70"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","01356","Gallimore Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","347","183","164","0","188","5","9","0","129","16","0","0","0","0","92","120","135","0","0","0","0","0","0","0","16","12","24"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","07250","Hoben Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","526","277","249","1","39","53","26","1","379","27","0","129","84","90","73","75","75","0","0","0","0","0","0","0","122","51","57"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","06677","Hulsing Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","479","257","222","1","29","77","13","1","332","26","0","99","93","70","81","65","71","0","0","0","0","0","0","0","167","52","37"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","04905","Isbister Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","475","251","224","2","20","15","18","1","401","18","0","87","78","68","83","71","88","0","0","0","0","0","0","0","60","41","25"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","02647","Liberty Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","820","423","397","3","129","141","45","0","471","31","0","0","0","0","0","0","0","270","265","285","0","0","0","0","156","88","63"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","06274","Miller Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","509","271","238","1","29","78","32","0","335","34","0","68","87","78","92","96","88","0","0","0","0","0","0","0","156","45","44"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","04849","Pioneer Middle School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","875","435","440","2","95","60","41","1","641","35","0","0","0","0","0","0","0","267","312","296","0","0","0","0","106","71","37"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","08997","Plymouth High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","2043","1037","1006","13","314","190","91","1","1361","73","0","0","0","0","0","0","0","0","0","0","516","512","503","483","335","206","61"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","05770","Salem High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","2030","1003","1027","6","379","187","85","3","1289","81","0","0","0","0","0","0","0","0","0","0","517","503","500","501","352","166","92"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","03492","Smith Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","420","188","232","5","12","10","17","2","361","13","0","69","76","72","70","70","63","0","0","0","0","0","0","0","65","42","17"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","04055","Starkweather Academy @ Fiegel","82","Wayne","LEA School","High School","Suburb: Large","258","157","101","2","11","46","6","1","183","9","0","0","0","0","0","0","0","0","0","0","0","119","40","99","111","51","12"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","07990","Tonda Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","547","301","246","2","24","30","31","0","433","27","0","95","105","80","108","71","88","0","0","0","0","0","0","0","68","83","36"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","03078","West Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","751","385","366","1","28","23","26","1","641","31","0","0","0","0","0","0","0","236","265","250","0","0","0","0","122","70","18"
"19 - 20 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","09646","Workman Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","734","382","352","1","113","54","33","5","485","43","0","95","121","124","129","116","149","0","0","0","0","0","0","0","63","68","86"
"19 - 20 School Year","82","Wayne RESA","82718","Quest Charter Academy","00097","Quest Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Small","771","376","395","2","11","311","103","0","265","79","0","99","87","85","85","86","87","86","75","81","0","0","0","0","617","89","44"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","00748","Beech Elementary","82","Wayne","LEA School","Elementary","Suburb: Large","564","318","246","3","2","366","28","0","113","52","0","0","0","131","147","123","163","0","0","0","0","0","0","0","479","156","20"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","05162","Hilbert Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","465","247","218","3","2","295","33","0","100","32","0","0","0","0","0","0","0","139","162","164","0","0","0","0","377","111","15"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","02296","MacGowan School","82","Wayne","LEA School","Elementary","Suburb: Large","265","147","118","2","0","146","20","0","69","28","0","134","131","0","0","0","0","0","0","0","0","0","0","0","238","65","<10"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","03167","Redford Union High School","82","Wayne","LEA School","High School","Suburb: Large","704","374","330","1","3","514","24","0","115","47","0","0","0","0","0","0","0","0","0","0","242","119","168","175","482","137","<10"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","03494","Redford Union Virtual Learning","82","Wayne","LEA School","Middle_High School","Not Specified","106","63","43","0","0","72","3","0","22","9","0","0","0","0","0","0","0","3","8","14","36","18","15","12","90","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","00743","Stuckey Center","82","Wayne","LEA School","Elem thru High School","Suburb: Large","129","97","32","1","1","40","7","0","79","1","0","1","2","2","5","8","8","13","19","12","21","15","14","9","88","129","<10"
"19 - 20 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","02225","Veritas","82","Wayne","LEA School","High School","Suburb: Large","62","39","23","0","0","54","1","0","5","2","0","0","0","0","0","0","0","0","0","0","13","10","9","30","47","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82727","Regent Park Scholars Charter Academy","00762","Regent Park Scholars Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","734","352","382","0","0","709","14","0","3","8","0","102","102","88","78","80","87","83","62","52","0","0","0","0","721","72","<10"
"19 - 20 School Year","82","Wayne RESA","82759","Regents Academy","02572","Regents Academy","82","Wayne","PSA School","Elem thru High School","Suburb: Large","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","00105","Ann Visger K-5 Preparatory Academy","82","Wayne","LEA School","Elementary","Suburb: Large","646","325","321","0","0","473","65","0","54","54","0","115","100","100","93","123","115","0","0","0","0","0","0","0","588","77","28"
"19 - 20 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","00363","CB Sabbath 6-8 Preparatory Academy","82","Wayne","LEA School","Middle School","Suburb: Large","400","213","187","1","1","309","41","0","18","30","0","0","0","0","0","0","0","132","124","144","0","0","0","0","346","69","31"
"19 - 20 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","03667","River Rouge Alternative Virtual Academy","82","Wayne","LEA School","Elem thru High School","Not Specified","46","20","26","1","0","24","6","0","9","6","0","0","0","0","0","0","0","0","2","2","15","10","10","7","34","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","03208","River Rouge High School","82","Wayne","LEA School","High School","Suburb: Large","1017","530","487","0","1","909","48","1","23","35","0","0","0","0","0","0","0","0","0","0","327","272","250","168","766","152","34"
"19 - 20 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","02676","River Rouge Stem Academy at Dunn","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","313","139","174","0","0","262","12","0","17","22","0","30","29","26","30","47","35","50","43","23","0","0","0","0","255","15","<10"
"19 - 20 School Year","82","Wayne RESA","82975","Riverside Academy","09300","Riverside Academy","82","Wayne","PSA School","Elementary","City: Small","407","205","202","0","0","40","6","0","360","1","0","67","69","63","70","63","75","0","0","0","0","0","0","0","405","26","242"
"19 - 20 School Year","82","Wayne RESA","82975","Riverside Academy","09604","Riverside Academy - West Campus","82","Wayne","PSA School","Middle_High School","City: Small","555","298","257","0","0","52","4","0","498","1","0","0","0","0","0","0","0","80","81","82","76","76","84","76","552","42","319"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","07423","Forest Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","463","244","219","0","8","41","24","0","385","5","0","68","81","75","82","76","81","0","0","0","0","0","0","0","211","44","15"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","01796","Huntington Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","327","165","162","2","2","29","29","0","259","6","0","61","53","53","54","50","56","0","0","0","0","0","0","0","152","38","22"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","02509","Memorial Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","416","200","216","1","4","24","40","0","344","3","0","70","69","70","77","54","76","0","0","0","0","0","0","0","255","40","11"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","03222","Riverview Community High School","82","Wayne","LEA School","High School","Suburb: Large","950","477","473","4","15","62","88","0","780","1","0","0","0","0","0","0","0","0","0","0","254","256","235","205","328","71","11"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","03268","Riverview Virtual Academy","82","Wayne","LEA School","Elem thru High School","Suburb: Large","80","33","47","0","0","4","8","0","68","0","0","0","0","2","1","2","1","4","0","7","12","11","18","22","41","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","03436","Seitz Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","669","316","353","2","7","40","65","0","548","7","0","0","0","0","0","0","0","221","255","193","0","0","0","0","323","69","10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","06679","Barth Elementary School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","289","157","132","1","0","132","14","0","121","21","0","40","42","47","57","64","32","7","0","0","0","0","0","0","167","70","<10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","06680","Hale Creek Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","269","153","116","1","1","174","8","0","72","13","0","45","41","37","53","44","49","0","0","0","0","0","0","0","210","38","<10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","09295","Romulus Adult Education Alternative","82","Wayne","LEA School","High School","Suburb: Large","24","13","11","0","0","8","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","15","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","08898","Romulus Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","323","153","170","1","2","256","7","0","38","19","0","59","49","55","60","39","61","0","0","0","0","0","0","0","246","34","<10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","06678","Romulus Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","476","259","217","0","2","357","17","0","78","22","0","0","0","0","0","0","0","156","170","150","0","0","0","0","311","85","10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","03260","Romulus Senior High School","82","Wayne","LEA School","High School","Suburb: Large","731","379","352","0","3","561","31","0","129","7","66","0","0","0","0","0","0","0","0","0","180","205","167","176","421","115","<10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","02874","Romulus Virtual Learning Center","82","Wayne","LEA School","Middle_High School","Suburb: Large","79","41","38","0","0","54","5","0","19","1","0","0","0","0","0","0","0","1","1","3","3","9","15","47","49","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","06590","Wick Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","278","135","143","0","0","214","14","0","34","16","0","53","42","33","45","57","48","0","0","0","0","0","0","0","195","20","<10"
"19 - 20 School Year","82","Wayne RESA","82748","Rutherford Winans Academy","02701","Rutherford Winans Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","232","128","104","0","0","231","1","0","0","0","0","42","37","40","34","38","41","0","0","0","0","0","0","0","193","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82729","South Canton Scholars Charter Academy","00836","South Canton Scholars Charter Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","785","398","387","2","257","212","26","1","252","35","0","110","90","92","90","83","88","81","73","78","0","0","0","0","246","55","142"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","01239","Fisher Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","384","199","185","3","2","288","23","0","51","17","0","68","57","51","72","56","80","0","0","0","0","0","0","0","286","48","16"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","01888","Jane Addams Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","312","159","153","2","4","217","15","0","44","30","0","60","53","50","43","56","50","0","0","0","0","0","0","0","201","34","10"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","01941","John D. Pierce Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","766","384","382","4","2","590","22","0","95","53","0","0","0","0","0","0","0","231","257","278","0","0","0","0","482","103","15"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","02149","Lee M. Thurston High School","82","Wayne","LEA School","High School","Suburb: Large","940","484","456","5","7","709","34","1","142","42","0","0","0","0","0","0","0","0","0","0","241","288","196","215","539","119","22"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","02347","SOAR Academic Institute","82","Wayne","LEA School","Middle_High School","Suburb: Large","111","69","42","1","0","67","3","0","33","7","0","0","0","0","0","0","0","0","3","2","9","18","27","52","59","13","<10"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","04167","Thomas Jefferson Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","288","153","135","0","0","182","10","0","70","26","0","45","53","47","46","43","54","0","0","0","0","0","0","0","191","38","<10"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","00124","Vandenberg Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","304","166","138","0","4","266","9","0","12","13","0","56","46","52","56","40","54","0","0","0","0","0","0","0","229","54","<10"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","05179","Allen Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","322","155","167","2","9","16","47","0","239","9","0","71","47","54","48","61","41","0","0","0","0","0","0","0","185","48","23"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","02956","Asher School","82","Wayne","LEA School","High School","Suburb: Large","177","96","81","1","0","29","20","0","126","1","0","0","0","0","0","0","0","0","0","0","26","43","48","60","125","15","<10"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","07777","Beacon Day Treatment Center","82","Wayne","LEA School","Elem thru High School","Suburb: Large","146","121","25","1","0","31","9","0","105","0","0","0","5","1","10","11","16","10","16","19","17","12","15","14","95","146","<10"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","00875","Davidson Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","727","381","346","4","9","71","81","1","550","11","0","0","0","0","0","0","0","219","277","231","0","0","0","0","388","104","22"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","01260","Fordline Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","289","157","132","2","3","39","51","0","173","21","0","52","51","42","43","49","52","0","0","0","0","0","0","0","181","65","13"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","00454","Grogan Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","382","186","196","3","2","42","52","1","281","1","0","92","54","52","58","54","72","0","0","0","0","0","0","0","250","58","<10"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","05405","Shelters Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","285","135","150","4","2","28","23","0","227","1","0","47","52","38","49","53","46","0","0","0","0","0","0","0","169","50","33"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","03544","Southgate Anderson High School","82","Wayne","LEA School","High School","Suburb: Large","1108","580","528","5","11","99","118","2","854","19","47","0","0","0","0","0","0","0","0","0","256","307","280","265","443","153","27"
"19 - 20 School Year","82","Wayne RESA","82941","Star International Academy","08636","Star International Academy","82","Wayne","PSA School","Elem thru High School","Suburb: Large","1637","786","851","0","44","91","10","0","1488","4","0","136","116","149","132","139","148","149","149","125","109","108","89","88","1525","99","818"
"19 - 20 School Year","82","Wayne RESA","82916","Summit Academy","08338","Summit Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","246","120","126","4","4","81","18","0","134","5","0","28","33","25","39","25","20","22","27","27","0","0","0","0","179","52","<10"
"19 - 20 School Year","82","Wayne RESA","82938","Summit Academy North","08907","Summit Academy North Elementary School","82","Wayne","PSA School","Elementary","Rural: Fringe","696","325","371","5","12","406","46","0","207","20","0","114","95","108","141","119","119","0","0","0","0","0","0","0","528","99","54"
"19 - 20 School Year","82","Wayne RESA","82938","Summit Academy North","08634","Summit Academy North High School","82","Wayne","PSA School","High School","Rural: Fringe","632","335","297","3","17","291","49","1","253","18","0","0","0","0","0","0","0","0","0","0","178","171","133","150","348","82","22"
"19 - 20 School Year","82","Wayne RESA","82938","Summit Academy North","08906","Summit Academy North Middle School","82","Wayne","PSA School","Middle School","Rural: Fringe","475","240","235","0","4","268","30","0","155","18","0","0","0","0","0","0","0","150","159","166","0","0","0","0","339","66","15"
"19 - 20 School Year","82","Wayne RESA","82995","Taylor Exemplar Academy","09709","Taylor Exemplar Academy","82","Wayne","PSA School","Elem_Middle School","City: Small","777","411","366","2","26","379","71","1","230","68","0","98","89","91","88","87","83","85","84","72","0","0","0","0","547","94","34"
"19 - 20 School Year","82","Wayne RESA","82756","Taylor Preparatory High School","01380","Taylor Preparatory High School","82","Wayne","PSA School","High School","City: Small","435","199","236","2","4","170","54","0","167","38","32","0","0","0","0","0","0","0","0","0","127","120","98","90","271","54","18"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","06275","Bernice McDowell Elem. School","82","Wayne","LEA School","Elementary","City: Small","261","140","121","1","16","107","19","0","98","20","0","48","49","34","42","41","47","0","0","0","0","0","0","0","207","70","17"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","00345","Blair Moody Elementary School","82","Wayne","LEA School","Elementary","City: Small","359","183","176","2","9","103","45","0","182","18","0","87","55","62","41","57","57","0","0","0","0","0","0","0","277","97","23"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","00698","Clarence Randall Elem. School","82","Wayne","LEA School","Elementary","City: Small","525","291","234","3","3","51","49","0","366","53","0","106","90","78","87","88","76","0","0","0","0","0","0","0","366","124","21"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","01159","Eureka Heights Elementary School","82","Wayne","LEA School","Elementary","City: Small","250","119","131","1","4","82","33","0","114","16","0","42","38","34","44","44","48","0","0","0","0","0","0","0","209","42","16"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","01695","Holland Elementary School","82","Wayne","LEA School","Elementary","City: Small","271","138","133","0","1","103","22","0","129","16","0","42","48","56","45","48","32","0","0","0","0","0","0","0","209","47","13"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","03942","Hoover Middle School","82","Wayne","LEA School","Middle School","City: Small","622","313","309","3","4","215","49","0","309","42","0","0","0","0","0","0","0","204","210","208","0","0","0","0","516","182","31"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","02049","Kinyon Elementary School","82","Wayne","LEA School","Elementary","City: Small","460","258","202","0","3","120","65","0","228","44","0","99","95","68","73","60","65","0","0","0","0","0","0","0","356","88","32"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","06403","Myers Elementary School","82","Wayne","LEA School","Elementary","City: Small","292","158","134","0","6","217","12","0","38","19","0","63","57","64","51","22","35","0","0","0","0","0","0","0","256","60","<10"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","03233","Robert J. West Middle School","82","Wayne","LEA School","Middle School","City: Small","769","391","378","1","8","168","85","0","448","59","0","0","0","0","0","0","0","275","234","260","0","0","0","0","591","164","34"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","06428","Taylor High School","82","Wayne","LEA School","High School","City: Small","1469","780","689","7","26","411","154","0","803","68","0","0","0","0","0","0","0","0","0","0","501","357","305","306","853","308","74"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","04141","Taylor Parks Elementary School","82","Wayne","LEA School","Elementary","City: Small","388","211","177","0","4","63","33","0","255","33","0","68","68","60","77","56","59","0","0","0","0","0","0","0","318","121","23"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","01381","Taylor Virtual Learning Academy","82","Wayne","LEA School","Middle_High School","City: Small","230","113","117","0","1","56","22","0","139","12","0","0","0","0","0","0","0","0","5","8","53","64","63","37","154","23","14"
"19 - 20 School Year","82","Wayne RESA","82928","The Dearborn Academy","08479","The Dearborn Academy","82","Wayne","PSA School","Elem_Middle School","City: Small","516","249","267","0","1","76","164","0","275","0","0","48","68","60","48","59","61","61","60","51","0","0","0","0","506","43","338"
"19 - 20 School Year","82","Wayne RESA","82706","The James and Grace Lee Boggs School","02073","The James and Grace Lee Boggs School","82","Wayne","PSA School","Elem_Middle School","City: Large","138","71","67","0","1","71","7","0","32","27","0","17","14","11","11","17","20","13","18","17","0","0","0","0","94","23","<10"
"19 - 20 School Year","82","Wayne RESA","82754","Tipton Academy","02870","Tipton Academy - 4-8","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","219","104","115","0","3","78","13","0","109","16","0","0","0","0","0","47","55","51","30","36","0","0","0","0","160","27","<10"
"19 - 20 School Year","82","Wayne RESA","82754","Tipton Academy","01734","Tipton Academy - PK-3","82","Wayne","PSA School","Elementary","Suburb: Large","258","132","126","0","0","94","12","0","132","20","0","76","71","50","61","0","0","0","0","0","0","0","0","0","195","27","<10"
"19 - 20 School Year","82","Wayne RESA","82155","Trenton Public Schools","06130","Boyd W. Arthurs Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","595","325","270","1","5","9","37","0","521","22","0","0","0","0","0","0","0","187","219","189","0","0","0","0","161","104","11"
"19 - 20 School Year","82","Wayne RESA","82155","Trenton Public Schools","01927","Jesse L. Anderson Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","551","294","257","1","7","8","21","0","502","12","0","131","86","82","81","100","71","0","0","0","0","0","0","0","124","92","13"
"19 - 20 School Year","82","Wayne RESA","82155","Trenton Public Schools","03189","Richard C. Hedke Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","489","253","236","0","5","12","38","0","415","19","0","87","86","72","97","74","73","0","0","0","0","0","0","0","171","85","14"
"19 - 20 School Year","82","Wayne RESA","82155","Trenton Public Schools","04203","Trenton High School","82","Wayne","LEA School","High School","Suburb: Large","883","461","422","2","16","14","52","0","784","15","0","0","0","0","0","0","0","0","0","0","211","218","220","232","204","108","12"
"19 - 20 School Year","82","Wayne RESA","82973","Trillium Academy","09094","Trillium Academy","82","Wayne","PSA School","Elem thru High School","City: Small","613","310","303","1","19","212","57","3","301","20","0","91","46","37","47","63","40","63","52","38","42","40","44","10","434","82","19"
"19 - 20 School Year","82","Wayne RESA","82950","Universal Academy","08671","Universal Academy","82","Wayne","PSA School","Elem thru High School","City: Large","675","355","320","0","0","12","23","0","640","0","0","49","49","50","51","45","51","49","53","53","59","54","55","57","668","41","464"
"19 - 20 School Year","82","Wayne RESA","82982","Universal Learning Academy","09827","Universal Learning Academy","82","Wayne","PSA School","Elem thru High School","Suburb: Large","701","331","370","0","9","64","7","0","606","15","0","57","59","71","60","56","58","66","57","69","56","41","35","16","642","55","423"
"19 - 20 School Year","82","Wayne RESA","82703","University Prepararatory Art & Design","01240","University Preparatory Art & Design Elementary","82","Wayne","PSA School","Elementary","City: Large","405","201","204","0","0","398","4","0","1","2","0","68","68","68","67","65","69","0","0","0","0","0","0","0","345","40","<10"
"19 - 20 School Year","82","Wayne RESA","82703","University Prepararatory Art & Design","00101","University Preparatory Art & Design Middle/High","82","Wayne","PSA School","Middle_High School","City: Large","895","451","444","0","0","872","6","1","1","15","0","0","0","0","0","0","0","108","128","140","137","137","127","118","704","99","<10"
"19 - 20 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09887","University Preparatory Academy (PSAD) - Elementary","82","Wayne","PSA School","Elementary","City: Large","433","208","225","0","0","421","2","0","2","8","0","67","74","75","75","70","72","0","0","0","0","0","0","0","364","55","<10"
"19 - 20 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09908","University Preparatory Academy (PSAD) - Elementary","82","Wayne","PSA School","Elementary","City: Large","480","231","249","0","5","447","2","0","6","20","0","77","79","77","85","77","85","0","0","0","0","0","0","0","360","46","<10"
"19 - 20 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09889","University Preparatory Academy (PSAD) - High School","82","Wayne","PSA School","High School","City: Large","554","269","285","1","0","540","0","0","1","12","0","0","0","0","0","0","0","0","0","0","151","132","141","130","444","77","<10"
"19 - 20 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09888","University Preparatory Academy (PSAD) - Middle","82","Wayne","PSA School","Middle School","City: Large","442","212","230","0","0","425","5","0","1","11","0","0","0","0","0","0","0","149","142","151","0","0","0","0","355","58","<10"
