"county","district","school","min_grade","max_grade","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_unreported","county_total","county_amind","county_asian","county_black","county_hisp","county_white","county_mult","district_total","district_amind","district_asian","district_black","district_hisp","district_white","district_mult","ell","ell_county","ell_dist","frpm","frpm_county","frpm_dist","swd_dist.x","swd_county.x","swd_dist.y","swd_county.y"
"San Diego","San Diego Unified","High Tech Middle Media Arts","6","8",332,0.00602409638554217,0.0451807228915663,0.0602409638554217,0.5,0.313253012048193,0.0753012048192771,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0783132530120482,0.179048595046945,0.189086035344346,0.406626506024096,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech High","10","12",507,0.00394477317554241,0.0315581854043393,0.0571992110453649,0.497041420118343,0.315581854043393,0.0927021696252465,0.0019723865877712,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0611439842209073,0.179048595046945,0.189086035344346,0.329388560157791,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech High Media Arts","10","12",389,0.0051413881748072,0.0282776349614396,0.0462724935732648,0.568123393316195,0.264781491002571,0.0874035989717224,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0565552699228792,0.179048595046945,0.189086035344346,0.390745501285347,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Marcos Unified","High Tech Elementary North County","K","9",424,0.00471698113207547,0.0400943396226415,0.0165094339622642,0.566037735849057,0.325471698113208,0.0471698113207547,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,19365,0.0168344952233411,0.0570100697134005,0.000568035114898012,0.471624064033049,0.403459850245288,0.050296927446424,0.219339622641509,0.179048595046945,0.133075135553834,0.511792452830189,0.510490372839842,0.297856958430158,0.14,0.142,0.14,0.142
"San Diego","San Diego Unified","High Tech Middle Mesa","6","7",223,0.0134529147982063,0.0807174887892377,0.0762331838565022,0.31390134529148,0.426008968609865,0.0896860986547085,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0672645739910314,0.179048595046945,0.189086035344346,0.381165919282511,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech Elementary Mesa","K","9",298,0.00335570469798658,0.063758389261745,0.0436241610738255,0.278523489932886,0.459731543624161,0.144295302013423,0.00671140939597315,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0771812080536913,0.179048595046945,0.189086035344346,0.312080536912752,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech Middle","6","8",331,0.00906344410876133,0.0392749244712991,0.0755287009063444,0.468277945619335,0.344410876132931,0.0634441087613293,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0936555891238671,0.179048595046945,0.189086035344346,0.410876132930514,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech High Mesa","10","11",307,0.00977198697068404,0.0423452768729642,0.0423452768729642,0.361563517915309,0.446254071661238,0.0977198697068404,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0390879478827362,0.179048595046945,0.189086035344346,0.371335504885993,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech Elementary","K","9",424,0.0165094339622642,0.0400943396226415,0.0589622641509434,0.445754716981132,0.356132075471698,0.080188679245283,0.00235849056603774,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.117924528301887,0.179048595046945,0.189086035344346,0.42688679245283,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Marcos Unified","High Tech Middle North County","6","8",322,0.0031055900621118,0.0279503105590062,0.0279503105590062,0.506211180124224,0.341614906832298,0.093167701863354,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,19365,0.0168344952233411,0.0570100697134005,0.000568035114898012,0.471624064033049,0.403459850245288,0.050296927446424,0.139751552795031,0.179048595046945,0.133075135553834,0.490683229813665,0.510490372839842,0.297856958430158,0.14,0.142,0.14,0.142
"San Diego","San Marcos Unified","High Tech High North County","10","12",412,0.00970873786407767,0.0194174757281553,0.0169902912621359,0.516990291262136,0.371359223300971,0.0655339805825243,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,19365,0.0168344952233411,0.0570100697134005,0.000568035114898012,0.471624064033049,0.403459850245288,0.050296927446424,0.0703883495145631,0.179048595046945,0.133075135553834,0.453883495145631,0.510490372839842,0.297856958430158,0.14,0.142,0.14,0.142
"San Diego","San Diego Unified","High Tech Elementary Explorer","K","9",388,0.0103092783505155,0.038659793814433,0.0979381443298969,0.479381443298969,0.275773195876289,0.095360824742268,0.00257731958762887,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.0644329896907216,0.179048595046945,0.189086035344346,0.391752577319588,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","San Diego Unified","High Tech High International","10","12",389,0.0077120822622108,0.0437017994858612,0.0591259640102828,0.491002570694087,0.300771208226221,0.0976863753213368,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,112663,0.00285808118015675,0.0921864321028199,0.0812689170357615,0.490906508791706,0.236492903615206,0.0841181221874085,0.06426735218509,0.179048595046945,0.189086035344346,0.367609254498715,0.510490372839842,0.576746580510017,0.13,0.142,0.13,0.142
"San Diego","Sweetwater Union High","High Tech High Chula Vista","10","12",560,0,0.0125,0.025,0.816071428571429,0.103571428571429,0.0410714285714286,0.00178571428571429,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,35120,0.00472665148063781,0.0205580865603645,0.0325455580865604,0.778843963553531,0.114322323462415,0.0439635535307517,0.125,0.179048595046945,0.225654897494305,0.483928571428571,0.510490372839842,0.615518223234624,0.13,0.142,0.13,0.142
"San Francisco","San Francisco Unified","Gateway High","10","12",512,0.0078125,0.158203125,0.119140625,0.361328125,0.201171875,0.099609375,0.052734375,56762,0.00281878721679997,0.309626158345372,0.0800359395370142,0.334220076811952,0.153095380712448,0.0671399880201543,55995,0.00273238682025181,0.312527904277168,0.0777033663719975,0.334797749799089,0.151442093044022,0.0672024287882847,0.072265625,0.242750431626793,0.244343244932583,0.494140625,0.519925302138755,0.519528529332976,0.123,0.129,0.123,0.129
"San Francisco","San Francisco Unified","Gateway Middle","6","8",300,0.00333333333333333,0.0866666666666667,0.16,0.273333333333333,0.34,0.13,0.00666666666666667,56762,0.00281878721679997,0.309626158345372,0.0800359395370142,0.334220076811952,0.153095380712448,0.0671399880201543,55995,0.00273238682025181,0.312527904277168,0.0777033663719975,0.334797749799089,0.151442093044022,0.0672024287882847,0.103333333333333,0.242750431626793,0.244343244932583,0.486666666666667,0.519925302138755,0.519528529332976,0.123,0.129,0.123,0.129
"Santa Clara","East Side Union High","Summit Public School: Tahoma","10","12",454,0,0.147577092511013,0.0286343612334802,0.533039647577093,0.196035242290749,0.0770925110132159,0.0176211453744493,242814,0.00308466562883524,0.323906364542407,0.0187550964936124,0.401311291770656,0.185821245891917,0.0572248717125042,24210,0.0020239570425444,0.353407682775712,0.0192069392812887,0.545559686080132,0.050392399834779,0.02606361007848,0.129955947136564,0.20806460912468,0.204502271788517,0.337004405286344,0.338604858039487,0.459190417182982,0.103,0.116,0.103,0.116
"Santa Clara","Sunnyvale","Summit Public School: Denali","6","12",608,0.00164473684210526,0.207236842105263,0.0115131578947368,0.337171052631579,0.289473684210526,0.125,0.0279605263157895,242814,0.00308466562883524,0.323906364542407,0.0187550964936124,0.401311291770656,0.185821245891917,0.0572248717125042,5580,0.0184587813620072,0.317562724014337,0.01415770609319,0.317204301075269,0.228136200716846,0.0915770609318996,0.106907894736842,0.20806460912468,0.274014336917563,0.304276315789474,0.338604858039487,0.240860215053763,0.119,0.116,0.119,0.116
