"school_name","item_desc","n_tested","c_lev34","p_lev34","m_lev34","sds"
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Grade 5 ELA",112,87,0.78,0.371087236785561,2.18390525055738
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Grade 5 Math",112,107,0.96,0.457409793814433,2.23683608761965
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","Grade 3 ELA",86,83,0.97,0.521283618581907,2.18386092972045
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","Grade 3 Math",85,85,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","Grade 4 ELA",101,90,0.89,0.474522425249169,2.00959159845265
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","Grade 4 Math",100,100,1,0.500103993344426,2.22489149081448
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","Grade 3 ELA",79,75,0.95,0.521283618581907,2.08652278829496
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","Grade 3 Math",79,77,0.97,0.545986145069275,1.98785157297974
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","Grade 4 ELA",46,44,0.96,0.474522425249169,2.34816922680251
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 3 ELA",73,67,0.92,0.521283618581907,1.94051557615672
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 3 Math",74,72,0.97,0.545986145069275,1.98785157297974
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 4 ELA",50,47,0.94,0.474522425249169,2.25143276155969
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 4 Math",50,49,0.98,0.500103993344426,2.13587731741872
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 5 ELA",110,93,0.85,0.371087236785561,2.557758505558
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 5 Math",110,107,0.97,0.457409793814433,2.2813422491025
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 6 ELA",65,61,0.94,0.452651191203421,2.42567337422794
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Grade 6 Math",65,65,1,0.45456322541234,2.40676584363105
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 3 ELA",104,89,0.86,0.521283618581907,1.64850115188025
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 3 Math",105,102,0.97,0.545986145069275,1.98785157297974
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 4 ELA",85,78,0.92,0.474522425249169,2.15469629631688
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 4 Math",85,85,1,0.500103993344426,2.22489149081448
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 5 ELA",101,80,0.79,0.371087236785561,2.23731285841461
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 5 Math",101,101,1,0.457409793814433,2.41486073355107
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 6 ELA",61,61,1,0.452651191203421,2.72431040755333
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 6 Math",61,61,1,0.45456322541234,2.40676584363105
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 7 ELA",57,56,0.98,0.376252587991718,3.03432191796522
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 7 Math",57,57,1,0.411087257617729,2.57161648115272
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Grade 8 ELA",53,53,1,0.46215331010453,2.67655159372832
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 3 ELA",91,88,0.97,0.521283618581907,2.18386092972045
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 3 Math",92,91,0.99,0.545986145069275,2.08161509272626
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 4 ELA",78,71,0.91,0.474522425249169,2.10632806369547
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 4 Math",78,74,0.95,0.500103993344426,2.00235605732507
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 5 ELA",123,81,0.66,0.371087236785561,1.5430139562706
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 5 Math",124,113,0.91,0.457409793814433,2.01430528020537
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 6 ELA",56,51,0.91,0.452651191203421,2.27635485756524
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Grade 6 Math",56,55,0.98,0.45456322541234,2.31851488748858
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","Grade 3 ELA",50,49,0.98,0.521283618581907,2.2325300004332
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","Grade 3 Math",49,49,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","Grade 3 ELA",72,72,1,0.521283618581907,2.32986814185869
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","Grade 3 Math",71,71,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","Grade 4 ELA",59,57,0.97,0.474522425249169,2.39653745942392
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","Grade 4 Math",59,59,1,0.500103993344426,2.22489149081448
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 3 ELA",90,90,1,0.521283618581907,2.32986814185869
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 3 Math",90,90,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 4 ELA",75,67,0.89,0.474522425249169,2.00959159845265
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 4 Math",75,75,1,0.500103993344426,2.22489149081448
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 5 ELA",112,75,0.67,0.371087236785561,1.59642156412783
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 5 Math",111,106,0.95,0.457409793814433,2.19232992613679
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 6 ELA",82,80,0.98,0.452651191203421,2.6247647297782
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Grade 6 Math",82,82,1,0.45456322541234,2.40676584363105
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","Grade 3 ELA",82,69,0.84,0.521283618581907,1.55116301045476
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","Grade 3 Math",82,77,0.94,0.545986145069275,1.84720629335996
"SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH","Grade 3 ELA",47,47,1,0.521283618581907,2.32986814185869
"SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH","Grade 3 Math",47,47,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","Grade 3 ELA",68,66,0.97,0.521283618581907,2.18386092972045
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","Grade 3 Math",68,68,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","Grade 4 ELA",43,42,0.98,0.474522425249169,2.44490569204532
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","Grade 4 Math",42,42,1,0.500103993344426,2.22489149081448
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 3 ELA",83,78,0.94,0.521283618581907,2.03785371758221
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 3 Math",83,83,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 4 ELA",100,84,0.84,0.474522425249169,1.76775043534561
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 4 Math",100,94,0.94,0.500103993344426,1.95784897062719
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 5 ELA",88,67,0.76,0.371087236785561,2.07709003484292
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 5 Math",88,87,0.99,0.457409793814433,2.37035457206821
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 6 ELA",80,66,0.83,0.452651191203421,1.87817214646471
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 6 Math",81,77,0.95,0.45456322541234,2.18613845327489
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 7 ELA",63,49,0.78,0.376252587991718,2.02915920998045
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Grade 7 Math",63,63,1,0.411087257617729,2.57161648115272
