SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00043","Albert Schweitzer Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","391","195","196","1","0","88","26","0","254","22","0","65","50","67","76","65","68","0","0","0","0","0","0","0","273","66","11"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00048","Alexander Hamilton Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","460","234","226","1","2","132","25","0","270","30","0","56","83","79","78","75","89","0","0","0","0","0","0","0","321","63","<10"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00273","Benjamin Franklin Middle School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","702","369","333","2","2","292","49","1","310","46","0","0","0","0","0","0","0","221","226","253","1","1","0","0","551","171","19"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00874","David Hicks School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","374","199","175","0","2","266","20","0","71","15","0","50","72","59","53","75","65","0","0","0","0","0","0","0","320","76","12"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","01111","Eugene B. Elliott Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","307","166","141","2","5","118","23","0","147","12","0","40","58","60","43","49","57","0","0","0","0","0","0","0","224","53","16"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","05295","Hoover Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","194","83","111","2","8","56","11","0","110","7","0","29","39","36","31","30","29","0","0","0","0","0","0","0","150","29","15"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","01950","John Glenn High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","1600","781","819","4","31","576","97","1","843","48","0","0","0","0","0","0","0","0","0","0","403","422","387","351","943","216","53"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","05881","P.D. Graham Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","398","202","196","0","10","94","21","0","260","13","0","59","73","61","83","81","41","0","0","0","0","0","0","0","216","64","15"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","03262","Roosevelt/McGrath Elem. School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","351","172","179","1","4","110","20","1","194","21","0","43","73","57","62","50","64","2","0","0","0","0","0","0","271","95","10"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04130","Taft-Galloway Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","284","149","135","1","2","105","23","0","139","14","0","49","46","54","43","50","42","0","0","0","0","0","0","0","227","58","12"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04158","Thomas A. Edison Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","428","221","207","1","5","195","28","0","189","10","0","70","88","66","73","71","60","0","0","0","0","0","0","0","286","53","30"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04334","Walker-Winter Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","381","195","186","3","8","92","21","0","231","26","0","49","60","72","75","66","59","0","0","0","0","0","0","0","230","50","10"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04407","Wayne Memorial High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","1472","760","712","5","16","602","127","0","644","78","0","0","0","0","0","0","0","0","0","0","372","435","340","299","1022","265","39"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00660","Wayne-Westland Community High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","166","109","57","0","2","67","10","0","81","6","0","0","0","0","0","0","0","0","0","0","0","0","65","101","137","37","<10"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","05552","Wildwood Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","468","239","229","2","10","76","35","1","328","16","0","72","80","81","88","75","72","0","0","0","0","0","0","0","277","68","34"
"20 - 21 School Year","82","Wayne RESA","82959","West Village Academy","08733","West Village Academy","82","Wayne","PSA School","Elem_Middle School","City: Small","Wayne Region","         3","353","175","178","2","2","297","14","0","36","2","0","29","35","42","25","50","42","36","54","40","0","0","0","0","266","43","11"
"20 - 21 School Year","82","Wayne RESA","82766","Westfield Charter Academy","03623","Westfield Charter Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","618","312","306","2","1","539","10","0","22","44","0","109","91","83","79","90","76","90","0","0","0","0","0","0","519","57","<10"
"20 - 21 School Year","82","Wayne RESA","82766","Westfield Charter Academy","03608","Westfield Preparatory High School","82","Wayne","PSA School","Middle_High School","Suburb: Large","Wayne Region","         3","538","261","277","5","0","490","11","0","6","26","113","0","0","0","0","0","0","0","85","97","232","124","0","0","440","74","<10"
