FIPSCode,LocationType,Location,ParentCounty,TimeFrame,DataFormat,Data
06618930,School District,Jefferson Union High,San Mateo County,2017,Percent,10.1
06618930,School District,Jefferson Union High,San Mateo County,2016,Number,497
06618930,School District,Jefferson Union High,San Mateo County,2016,Percent,10.1
06618930,School District,Jefferson Union High,San Mateo County,2015,Number,476
06618930,School District,Jefferson Union High,San Mateo County,2015,Percent,9.7
06618930,School District,Jefferson Union High,San Mateo County,2014,Number,475
06618930,School District,Jefferson Union High,San Mateo County,2014,Percent,10.0
06618930,School District,Jefferson Union High,San Mateo County,2012,Number,493
06618930,School District,Jefferson Union High,San Mateo County,2012,Percent,9.9
06618930,School District,Jefferson Union High,San Mateo County,2013,Number,477
06618930,School District,Jefferson Union High,San Mateo County,2013,Percent,9.8
06618930,School District,Jefferson Union High,San Mateo County,2011,Number,493
06618930,School District,Jefferson Union High,San Mateo County,2011,Percent,9.9
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2011,Number,37
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2011,Percent,10.9
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2012,Number,38
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2012,Percent,11.7
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2013,Number,41
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2013,Percent,12.0
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2014,Number,40
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2014,Percent,11.5
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2015,Number,39
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2015,Percent,11.5
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2016,Number,36
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2016,Percent,10.9
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2017,Number,43
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2017,Percent,13.5
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2018,Number,43
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2018,Percent,13.6
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2019,Number,46
06620220,School District,La Honda_Pescadero Unified,San Mateo County,2019,Percent,14.6
06620460,School District,Pacifica,San Mateo County,2019,Number,335
06620460,School District,Pacifica,San Mateo County,2019,Percent,10.8
06620460,School District,Pacifica,San Mateo County,2018,Number,323
06620460,School District,Pacifica,San Mateo County,2018,Percent,10.4
06620460,School District,Pacifica,San Mateo County,2017,Number,299
06620460,School District,Pacifica,San Mateo County,2017,Percent,9.5
06620460,School District,Pacifica,San Mateo County,2016,Percent,8.9
06620460,School District,Pacifica,San Mateo County,2016,Number,285
06620460,School District,Pacifica,San Mateo County,2015,Number,284
06620460,School District,Pacifica,San Mateo County,2015,Percent,9.0
06620460,School District,Pacifica,San Mateo County,2014,Number,287
06620460,School District,Pacifica,San Mateo County,2014,Percent,8.9
06620460,School District,Pacifica,San Mateo County,2013,Number,292
06620460,School District,Pacifica,San Mateo County,2013,Percent,9.0
06620460,School District,Pacifica,San Mateo County,2012,Number,286
06620460,School District,Pacifica,San Mateo County,2012,Percent,8.9
06620460,School District,Pacifica,San Mateo County,2011,Number,284
06620460,School District,Pacifica,San Mateo County,2011,Percent,9.0
06622380,School District,Las Lomitas Elementary,San Mateo County,2012,Number,166
06622380,School District,Las Lomitas Elementary,San Mateo County,2012,Percent,12.2
06622380,School District,Las Lomitas Elementary,San Mateo County,2013,Number,164
06622380,School District,Las Lomitas Elementary,San Mateo County,2013,Percent,11.6
06622380,School District,Las Lomitas Elementary,San Mateo County,2014,Number,159
06622380,School District,Las Lomitas Elementary,San Mateo County,2014,Percent,11.5
06622380,School District,Las Lomitas Elementary,San Mateo County,2015,Number,164
06622380,School District,Las Lomitas Elementary,San Mateo County,2015,Percent,11.8
06622380,School District,Las Lomitas Elementary,San Mateo County,2016,Number,174
06622380,School District,Las Lomitas Elementary,San Mateo County,2016,Percent,12.6
06622380,School District,Las Lomitas Elementary,San Mateo County,2017,Number,158
06622380,School District,Las Lomitas Elementary,San Mateo County,2017,Percent,11.4
06622380,School District,Las Lomitas Elementary,San Mateo County,2018,Number,164
06622380,School District,Las Lomitas Elementary,San Mateo County,2018,Percent,12.2
06622380,School District,Las Lomitas Elementary,San Mateo County,2019,Number,157
06622380,School District,Las Lomitas Elementary,San Mateo County,2019,Percent,12.5
06622380,School District,Las Lomitas Elementary,San Mateo County,2011,Number,160
06622380,School District,Las Lomitas Elementary,San Mateo County,2011,Percent,12.0
06624570,School District,Menlo Park City Elementary,San Mateo County,2011,Number,214
06624570,School District,Menlo Park City Elementary,San Mateo County,2011,Percent,8.1
06624570,School District,Menlo Park City Elementary,San Mateo County,2019,Number,263
06624570,School District,Menlo Park City Elementary,San Mateo County,2019,Percent,9.0
06624570,School District,Menlo Park City Elementary,San Mateo County,2018,Number,276
06624570,School District,Menlo Park City Elementary,San Mateo County,2018,Percent,9.3
06624570,School District,Menlo Park City Elementary,San Mateo County,2017,Number,281
06624570,School District,Menlo Park City Elementary,San Mateo County,2017,Percent,9.4
06624570,School District,Menlo Park City Elementary,San Mateo County,2016,Number,248
06624570,School District,Menlo Park City Elementary,San Mateo County,2016,Percent,8.4
06624570,School District,Menlo Park City Elementary,San Mateo County,2015,Number,243
06624570,School District,Menlo Park City Elementary,San Mateo County,2015,Percent,8.4
06624570,School District,Menlo Park City Elementary,San Mateo County,2014,Number,235
06624570,School District,Menlo Park City Elementary,San Mateo County,2014,Percent,8.1
06624570,School District,Menlo Park City Elementary,San Mateo County,2013,Number,214
06624570,School District,Menlo Park City Elementary,San Mateo County,2013,Percent,7.6
06624570,School District,Menlo Park City Elementary,San Mateo County,2012,Number,215
06624570,School District,Menlo Park City Elementary,San Mateo County,2012,Percent,7.9
06624900,School District,Millbrae Elementary,San Mateo County,2012,Number,226
06624900,School District,Millbrae Elementary,San Mateo County,2012,Percent,9.7
06624900,School District,Millbrae Elementary,San Mateo County,2013,Number,228
06624900,School District,Millbrae Elementary,San Mateo County,2013,Percent,9.6
06624900,School District,Millbrae Elementary,San Mateo County,2014,Number,244
06624900,School District,Millbrae Elementary,San Mateo County,2014,Percent,10.0
06624900,School District,Millbrae Elementary,San Mateo County,2015,Number,243
06624900,School District,Millbrae Elementary,San Mateo County,2015,Percent,9.8
06624900,School District,Millbrae Elementary,San Mateo County,2016,Number,248
06624900,School District,Millbrae Elementary,San Mateo County,2016,Percent,10.2
06624900,School District,Millbrae Elementary,San Mateo County,2017,Number,253
06624900,School District,Millbrae Elementary,San Mateo County,2017,Percent,10.4
06624900,School District,Millbrae Elementary,San Mateo County,2018,Number,246
06624900,School District,Millbrae Elementary,San Mateo County,2018,Percent,10.1
06624900,School District,Millbrae Elementary,San Mateo County,2019,Number,218
06624900,School District,Millbrae Elementary,San Mateo County,2019,Percent,9.1
06624900,School District,Millbrae Elementary,San Mateo County,2011,Number,229
06624900,School District,Millbrae Elementary,San Mateo County,2011,Percent,10.3
06631470,School District,Portola Valley Elementary,San Mateo County,2011,Number,98
06631470,School District,Portola Valley Elementary,San Mateo County,2011,Percent,13.8
06631470,School District,Portola Valley Elementary,San Mateo County,2019,Number,56
06631470,School District,Portola Valley Elementary,San Mateo County,2019,Percent,9.7
06631470,School District,Portola Valley Elementary,San Mateo County,2018,Number,61
06631470,School District,Portola Valley Elementary,San Mateo County,2018,Percent,10.0
06631470,School District,Portola Valley Elementary,San Mateo County,2017,Number,60
06631470,School District,Portola Valley Elementary,San Mateo County,2017,Percent,9.6
06631470,School District,Portola Valley Elementary,San Mateo County,2016,Number,53
06631470,School District,Portola Valley Elementary,San Mateo County,2016,Percent,8.5
06631470,School District,Portola Valley Elementary,San Mateo County,2015,Number,52
06631470,School District,Portola Valley Elementary,San Mateo County,2015,Percent,8.3
06631470,School District,Portola Valley Elementary,San Mateo County,2014,Number,65
06631470,School District,Portola Valley Elementary,San Mateo County,2014,Percent,10.0
06631470,School District,Portola Valley Elementary,San Mateo County,2013,Number,71
06631470,School District,Portola Valley Elementary,San Mateo County,2013,Percent,10.6
06631470,School District,Portola Valley Elementary,San Mateo County,2012,Number,84
06631470,School District,Portola Valley Elementary,San Mateo County,2012,Percent,11.8
06631860,School District,Ravenswood City Elementary,San Mateo County,2012,Number,425
06631860,School District,Ravenswood City Elementary,San Mateo County,2012,Percent,9.9
06631860,School District,Ravenswood City Elementary,San Mateo County,2013,Number,398
06631860,School District,Ravenswood City Elementary,San Mateo County,2013,Percent,9.8
06631860,School District,Ravenswood City Elementary,San Mateo County,2014,Number,416
06631860,School District,Ravenswood City Elementary,San Mateo County,2014,Percent,10.3
06631860,School District,Ravenswood City Elementary,San Mateo County,2015,Number,440
06631860,School District,Ravenswood City Elementary,San Mateo County,2015,Percent,10.4
06631860,School District,Ravenswood City Elementary,San Mateo County,2016,Number,421
06631860,School District,Ravenswood City Elementary,San Mateo County,2016,Percent,10.4
06631860,School District,Ravenswood City Elementary,San Mateo County,2017,Number,446
06631860,School District,Ravenswood City Elementary,San Mateo County,2017,Percent,11.6
06631860,School District,Ravenswood City Elementary,San Mateo County,2018,Number,444
06631860,School District,Ravenswood City Elementary,San Mateo County,2018,Percent,12.2
06631860,School District,Ravenswood City Elementary,San Mateo County,2019,Number,456
06631860,School District,Ravenswood City Elementary,San Mateo County,2019,Percent,13.3
06631860,School District,Ravenswood City Elementary,San Mateo County,2011,Number,435
06631860,School District,Ravenswood City Elementary,San Mateo County,2011,Percent,10.2
06632130,School District,Redwood City Elementary,San Mateo County,2011,Number,"1,175"
06632130,School District,Redwood City Elementary,San Mateo County,2011,Percent,12.9
06632130,School District,Redwood City Elementary,San Mateo County,2019,Number,"1,190"
06632130,School District,Redwood City Elementary,San Mateo County,2019,Percent,13.6
06632130,School District,Redwood City Elementary,San Mateo County,2018,Number,"1,174"
06632130,School District,Redwood City Elementary,San Mateo County,2018,Percent,13.3
06632130,School District,Redwood City Elementary,San Mateo County,2017,Number,"1,167"
06632130,School District,Redwood City Elementary,San Mateo County,2017,Percent,13.0
06632130,School District,Redwood City Elementary,San Mateo County,2016,Number,"1,221"
06632130,School District,Redwood City Elementary,San Mateo County,2016,Percent,13.4
06632130,School District,Redwood City Elementary,San Mateo County,2015,Number,"1,215"
06632130,School District,Redwood City Elementary,San Mateo County,2015,Percent,13.4
06632130,School District,Redwood City Elementary,San Mateo County,2014,Number,"1,201"
06632130,School District,Redwood City Elementary,San Mateo County,2014,Percent,13.1
06632130,School District,Redwood City Elementary,San Mateo County,2013,Number,"1,220"
06632130,School District,Redwood City Elementary,San Mateo County,2013,Percent,13.2
06632130,School District,Redwood City Elementary,San Mateo County,2012,Number,"1,198"
06632130,School District,Redwood City Elementary,San Mateo County,2012,Percent,12.9
06634230,School District,San Bruno Park Elementary,San Mateo County,2012,Number,325
06634230,School District,San Bruno Park Elementary,San Mateo County,2012,Percent,12.4
06634230,School District,San Bruno Park Elementary,San Mateo County,2013,Number,351
06634230,School District,San Bruno Park Elementary,San Mateo County,2013,Percent,13.1
06634230,School District,San Bruno Park Elementary,San Mateo County,2014,Number,354
06634230,School District,San Bruno Park Elementary,San Mateo County,2014,Percent,12.7
06634230,School District,San Bruno Park Elementary,San Mateo County,2015,Number,348
06634230,School District,San Bruno Park Elementary,San Mateo County,2015,Percent,12.4
06634230,School District,San Bruno Park Elementary,San Mateo County,2016,Number,321
06634230,School District,San Bruno Park Elementary,San Mateo County,2016,Percent,11.8
06634230,School District,San Bruno Park Elementary,San Mateo County,2017,Number,320
06634230,School District,San Bruno Park Elementary,San Mateo County,2017,Percent,12.0
06634230,School District,San Bruno Park Elementary,San Mateo County,2018,Number,336
06634230,School District,San Bruno Park Elementary,San Mateo County,2018,Percent,12.7
06634230,School District,San Bruno Park Elementary,San Mateo County,2019,Number,324
06634230,School District,San Bruno Park Elementary,San Mateo County,2019,Percent,12.9
06634230,School District,San Bruno Park Elementary,San Mateo County,2011,Number,300
06634230,School District,San Bruno Park Elementary,San Mateo County,2011,Percent,11.5
06634290,School District,San Carlos Elementary,San Mateo County,2011,Number,339
06634290,School District,San Carlos Elementary,San Mateo County,2011,Percent,10.6
06634290,School District,San Carlos Elementary,San Mateo County,2019,Number,309
06634290,School District,San Carlos Elementary,San Mateo County,2019,Percent,9.0
06634290,School District,San Carlos Elementary,San Mateo County,2018,Number,329
06634290,School District,San Carlos Elementary,San Mateo County,2018,Percent,9.3
06634290,School District,San Carlos Elementary,San Mateo County,2017,Number,315
06634290,School District,San Carlos Elementary,San Mateo County,2017,Percent,9.0
06634290,School District,San Carlos Elementary,San Mateo County,2016,Number,296
06634290,School District,San Carlos Elementary,San Mateo County,2016,Percent,8.4
06634290,School District,San Carlos Elementary,San Mateo County,2015,Number,300
06634290,School District,San Carlos Elementary,San Mateo County,2015,Percent,8.7
06634290,School District,San Carlos Elementary,San Mateo County,2014,Number,295
06634290,School District,San Carlos Elementary,San Mateo County,2014,Percent,8.7
06634290,School District,San Carlos Elementary,San Mateo County,2013,Number,316
06634290,School District,San Carlos Elementary,San Mateo County,2013,Percent,9.5
06634290,School District,San Carlos Elementary,San Mateo County,2012,Number,358
06634290,School District,San Carlos Elementary,San Mateo County,2012,Percent,10.9
06634980,School District,San Mateo Union High,San Mateo County,2012,Number,986
06634980,School District,San Mateo Union High,San Mateo County,2012,Percent,12.0
06634980,School District,San Mateo Union High,San Mateo County,2013,Percent,11.7
06634980,School District,San Mateo Union High,San Mateo County,2013,Number,962
06634980,School District,San Mateo Union High,San Mateo County,2014,Number,937
06634980,School District,San Mateo Union High,San Mateo County,2014,Percent,11.5
06634980,School District,San Mateo Union High,San Mateo County,2015,Number,950
06634980,School District,San Mateo Union High,San Mateo County,2015,Percent,11.4
06634980,School District,San Mateo Union High,San Mateo County,2016,Number,936
06634980,School District,San Mateo Union High,San Mateo County,2016,Percent,10.9
06634980,School District,San Mateo Union High,San Mateo County,2017,Number,948
06634980,School District,San Mateo Union High,San Mateo County,2017,Percent,10.4
06634980,School District,San Mateo Union High,San Mateo County,2018,Number,950
06634980,School District,San Mateo Union High,San Mateo County,2018,Percent,10.0
06634980,School District,San Mateo Union High,San Mateo County,2019,Number,"1,006"
06634980,School District,San Mateo Union High,San Mateo County,2019,Percent,10.5
06634980,School District,San Mateo Union High,San Mateo County,2011,Number,"1,005"
06634980,School District,San Mateo Union High,San Mateo County,2011,Percent,12.0
06634920,School District,San Mateo_Foster City,San Mateo County,2011,Number,"1,104"
06634920,School District,San Mateo_Foster City,San Mateo County,2011,Percent,10.1
06634920,School District,San Mateo_Foster City,San Mateo County,2019,Number,"1,106"
06634920,School District,San Mateo_Foster City,San Mateo County,2019,Percent,9.4
06634920,School District,San Mateo_Foster City,San Mateo County,2018,Number,"1,054"
06634920,School District,San Mateo_Foster City,San Mateo County,2018,Percent,8.9
06634920,School District,San Mateo_Foster City,San Mateo County,2017,Number,962
06634920,School District,San Mateo_Foster City,San Mateo County,2017,Percent,8.0
06634920,School District,San Mateo_Foster City,San Mateo County,2016,Number,987
06634920,School District,San Mateo_Foster City,San Mateo County,2016,Percent,8.2
06634920,School District,San Mateo_Foster City,San Mateo County,2015,Number,925
06634920,School District,San Mateo_Foster City,San Mateo County,2015,Percent,7.8
06634920,School District,San Mateo_Foster City,San Mateo County,2014,Number,967
06634920,School District,San Mateo_Foster City,San Mateo County,2014,Percent,8.3
06634920,School District,San Mateo_Foster City,San Mateo County,2013,Percent,8.2
06634920,School District,San Mateo_Foster City,San Mateo County,2013,Number,945
06634920,School District,San Mateo_Foster City,San Mateo County,2012,Number,"1,030"
06634920,School District,San Mateo_Foster City,San Mateo County,2012,Percent,9.2
06636390,School District,Sequoia Union High,San Mateo County,2012,Number,"1,112"
06636390,School District,Sequoia Union High,San Mateo County,2012,Percent,12.4
06636390,School District,Sequoia Union High,San Mateo County,2013,Number,"1,081"
06636390,School District,Sequoia Union High,San Mateo County,2013,Percent,11.7
06636390,School District,Sequoia Union High,San Mateo County,2014,Number,"1,053"
