SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02448","Maybury Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","249","119","130","1","0","41","192","0","13","2","0","41","45","44","40","41","38","0","0","0","0","0","0","0","211","25","107"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08951","Moses Field Center","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","60","32","28","0","9","48","1","0","1","1","0","0","7","6","6","10","12","7","7","5","0","0","0","0","45","58","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02644","Mumford High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","899","459","440","0","0","893","3","0","1","2","0","0","0","0","0","0","0","0","0","0","241","251","207","200","750","172","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00858","Munger Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","896","458","438","0","0","130","691","0","75","0","0","54","87","102","106","113","103","99","110","122","0","0","0","0","705","81","499"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02669","Neinas Dual Language Learning Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","385","204","181","0","0","47","311","0","26","1","0","39","43","52","40","38","42","42","37","52","0","0","0","0","334","56","182"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02703","Nichols Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","281","142","139","0","0","278","0","0","3","0","0","15","31","28","37","24","27","35","42","42","0","0","0","0","241","39","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","06103","Noble Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","516","284","232","2","0","503","4","0","3","4","0","49","69","59","68","54","54","53","56","54","0","0","0","0","470","113","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02708","Nolan Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","445","217","228","1","1","440","3","0","0","0","0","49","59","50","56","59","49","40","39","44","0","0","0","0","411","38","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","440","248","192","1","2","432","0","0","5","0","0","0","0","0","0","0","0","0","0","0","134","104","106","96","399","120","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01552","Palmer Park Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","463","243","220","2","1","435","3","0","15","7","0","34","28","51","38","45","42","47","73","105","0","0","0","0","376","58","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02969","Pasteur Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","283","146","137","0","0","283","0","0","0","0","0","23","44","46","40","42","47","41","0","0","0","0","0","0","248","71","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07633","Paul Robeson Malcolm X Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","363","191","172","0","0","363","0","0","0","0","0","41","43","51","44","37","42","21","41","43","0","0","0","0","321","28","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","403","233","170","0","8","393","0","1","1","0","0","0","0","0","0","0","0","0","0","0","126","72","122","83","343","76","<10"
